nodeId	coords	edges
4741711_29	[47.3645317689371, 8.522689957077494, 474.79617107100785]	['4741777_1', '4859476_0', '4859476_29', '4741711_5']
4858954_0	[47.37521208405767, 8.55284772625675, 502.26754058897495]	['6245091_0', '4858954_8', '4858954_8']
4858950_1	[47.375727678313496, 8.529055589968145, 457.35415678750724]	['4858950_0', '4865396_1', '4869522_0', '4858192_0']
4858950_0	[47.37530045393536, 8.528410013849495, 457.7239368194714]	['4858950_1', '4861943_2', '4868913_1', '4865541_1']
4858578_0	[47.38275651902345, 8.549562799894824, 542.32789058052]	['4865213_4', '4858592_0', '4858578_6']
6388832_6	[47.38546437744939, 8.544400867051538, 505.7439272692427]	['6128165_9']
6388298_0	[47.37267246184868, 8.5343583361696, 458.3989017866552]	['6244874_0', '6388276_1', '6244873_3', '6115603_12']
6150052_1	[47.37951807986975, 8.537540675666081, 455.28458297252655]	['4858269_12', '4858113_5', '6150129_0', '6388627_0']
6128015_8	[47.38194113485863, 8.547571680639116, 521.1290577584878]	['4861808_1', '4861824_0', '6128133_5']
6115843_0	[47.36964207667697, 8.533637433441543, 458.2216427801177]	['4862541_7', '4862109_1', '4858534_18']
4867357_0	[47.38876597647454, 8.552676859951665, 627.8028353862464]	['6125379_11', '6125194_22', '4862542_9']
6166531_0	[47.385983777961634, 8.52439254960776, 451.1316961264238]	['6166536_4', '6166531_5', '6166530_0']
6246074_0	[47.373540518935414, 8.519838562983393, 460.34721274487674]	['4862316_0', '4859178_2', '4865566_0']
6166531_5	[47.38504430885607, 8.523987899333461, 451.69059107266366]	['6159815_0', '6166531_0', '6166533_3']
6112576_0	[47.36319702200238, 8.522097279403832, 464.830295314081]	['6112553_1']
6103952_0	[47.36460221657181, 8.554285446738627, 472.0291435914114]	['4861020_2', '4857488_7', '6103978_0']
6389333_0	[47.38817092593351, 8.528867360422428, 451.40940261259675]	['6389333_10', '6267982_2', '6159823_2']
6117998_12	[47.37542345941611, 8.531571483013952, 457.2304296800867]	['6117897_3', '6117997_0', '6117997_0']
6127130_17	[47.39113740917, 8.552547336473097, 618.2216844055802]	['4862542_9']
4858202_0	[47.37471307943257, 8.52045086756719, 459.54449492506683]	['6114957_3', '4858202_2', '4861930_4']
4858202_2	[47.37497803725695, 8.519340174834566, 459.6739100860432]	['6115190_0', '4858202_0', '6114778_1']
4869500_0	[47.3773937302893, 8.52101772701787, 457.2098313998431]	['4865390_0', '4858763_3', '4865016_0', '4865195_0']
6128244_4	[47.38918120186034, 8.54620122782882, 536.7122682519257]	['4856954_0', '6128388_2', '6128382_2']
6106300_2	[47.37072980194397, 8.546666061541615, 477.1706345556304]	['6106302_0', '4864831_10', '6106665_12']
6166475_0	[47.38529650516062, 8.540535771167006, 483.17726751603186]	['6166478_0', '6128013_2', '6166479_2']
